Weather,TrafficDensity,RoadCondition,SpeedLimit,TimeOfDay,AccidentRisk
Sunny,Low,Dry,40,Morning,Low
Sunny,Medium,Dry,60,Afternoon,Low
Sunny,High,Dry,80,Night,Medium
Rainy,Low,Wet,40,Morning,Medium
Rainy,Medium,Wet,60,Afternoon,High
Rainy,High,Wet,80,Night,High
Foggy,Low,Wet,40,Morning,Medium
Foggy,Medium,Wet,60,Afternoon,High
Foggy,High,Wet,80,Night,High
Sunny,High,Damaged,80,Night,High
Rainy,High,Damaged,80,Night,High
Sunny,Medium,Damaged,60,Afternoon,Medium
Cloudy,Low,Dry,40,Morning,Low
Cloudy,Medium,Wet,60,Evening,Medium
Cloudy,High,Wet,80,Night,High
Sunny,Low,Damaged,40,Night,Medium
Rainy,Medium,Damaged,80,Night,High
Foggy,Low,Dry,40,Morning,Low
Cloudy,High,Damaged,80,Night,High
Rainy,Low,Dry,60,Morning,Low
