AccidentID,Latitude,Longitude,AreaName,RoadName,RoadType,NumberOfLanes,RoadWidth,SpeedLimit,Weather,Temperature,Humidity,Visibility,WindSpeed,RoadCondition,LightingCondition,TrafficDensity,AverageTrafficSpeed,HeavyVehiclePercentage,PedestrianDensity,NearbySchool,NearbyHospital,NearbyBusStop,NearbySignal,NearbyRailwayCrossing,Year,Month,DayOfWeek,Weekend,FestivalSeason,TimeOfDay,Hour,CurvePresent,DividerPresent,RoadShoulder,AccidentHistoryLast5Years,ConstructionZone,BlackSpotReported,AccidentRisk,AccidentSeverity,Hotspot
CHN202200001,13.04584,80.285402,Marina,Marina Beach Road,Arterial,4,16.1,60,Sunny,33.5,52.4,4780,13.4,Potholes,Dawn,High,19.1,5.5,58.0,No,No,No,Yes,No,2023,2,Thursday,No,Yes,Early Morning,5,Yes,No,No,4,No,No,Medium,Major,No
CHN202500002,13.052173,80.097338,Poonamallee,Poonamallee High Road,Service Road,1,6.7,20,Sunny,29.1,60.7,3994,14.2,Damaged,Daylight,Low,40.7,14.4,22.0,No,No,No,No,No,2023,7,Thursday,No,No,Afternoon,13,Yes,No,Yes,2,No,No,Low,Minor,No
CHN202200003,13.038734,80.158902,Porur,Mount Poonamallee Road,Arterial,4,11.3,40,Sunny,36.2,54.2,2483,11.5,Dry,Daylight,High,11.6,2.9,87.0,Yes,No,No,No,No,2023,6,Tuesday,No,No,Afternoon,14,No,No,Yes,4,No,No,Low,Minor,No
CHN202300004,13.039682,80.235031,T Nagar,Anna Salai,Arterial,4,15.2,40,Sunny,29.4,54.9,2989,6.9,Dry,NightWithLights,Medium,35.2,2.2,64.0,No,No,No,Yes,No,2024,4,Sunday,Yes,No,Night,19,No,Yes,Yes,3,No,No,Low,Minor,No
CHN202300005,13.031401,80.154455,Porur,Mount Poonamallee Road,Arterial,4,15.8,60,Sunny,38.2,49.6,2112,12.2,Dry,Daylight,Medium,31.8,,90.0,Yes,Yes,Yes,No,No,2023,10,Sunday,Yes,No,Morning,10,No,No,No,5,No,No,Low,Major,No
CHN202300006,13.005982,80.219067,Guindy,GST Road,Highway,8,16.0,80,Rainy,29.8,85.0,472,10.3,Wet,NightWithoutLights,High,13.9,9.0,59.0,No,No,No,Yes,No,2022,12,Monday,No,No,Night,20,No,Yes,Yes,3,No,No,High,Major,Yes
CHN202400007,12.940913,80.24507,Thoraipakkam,OMR,Highway,8,22.0,80,Rainy,24.1,77.2,1295,25.9,Wet,Daylight,Medium,27.6,18.0,63.0,No,No,Yes,Yes,No,2025,8,Sunday,Yes,No,Afternoon,13,Yes,Yes,No,4,No,No,Medium,Major,No
CHN202500008,13.037034,80.157329,Porur,Mount Poonamallee Road,Arterial,4,15.4,50,Sunny,34.0,62.5,4553,5.6,Dry,Dawn,Low,39.4,10.3,13.0,Yes,No,Yes,No,No,2022,8,Thursday,No,No,Early Morning,5,No,No,No,4,No,No,Low,Minor,No
CHN202200009,12.932973,80.236312,Thoraipakkam,OMR,Highway,4,17.7,80,Sunny,35.9,50.9,4846,16.9,Dry,NightWithLights,High,16.5,19.7,62.0,Yes,No,No,Yes,No,2025,11,Thursday,No,No,Night,20,No,Yes,No,8,No,Yes,Medium,Fatal,Yes
CHN202400010,13.032635,80.235317,T Nagar,Anna Salai,Junction,4,14.9,40,Drizzle,24.6,72.1,949,17.2,Wet,NightWithoutLights,Medium,27.7,5.1,,Yes,Yes,No,No,No,2024,5,Saturday,Yes,No,Late Night,2,No,No,No,9,No,Yes,High,Minor,Yes
CHN202500011,13.043595,80.096823,Poonamallee,Poonamallee High Road,Arterial,4,16.3,40,Drizzle,28.4,75.1,2222,9.5,UnderConstruction,Daylight,Severe,12.7,4.4,100.0,Yes,No,Yes,No,No,2024,2,Friday,No,No,Morning,6,Yes,Yes,No,9,Yes,Yes,High,Major,Yes
CHN202200012,12.787622,80.212078,Kelambakkam,OMR Service Road,Service Road,1,6.8,40,Cloudy,27.4,67.3,1605,18.6,Damaged,Daylight,Medium,34.1,17.7,55.0,No,Yes,,Yes,No,2023,2,Saturday,Yes,No,Afternoon,11,No,No,Yes,2,No,No,Low,Major,No
CHN202200013,13.116032,80.096897,Avadi,Chennai Bypass Road,Highway,6,16.2,80,Sunny,29.4,53.4,3422,7.9,Dry,Daylight,High,23.1,20.7,69.0,No,No,No,Yes,No,2024,8,Friday,No,No,Afternoon,12,No,No,No,5,No,No,Low,Major,No
CHN202400014,12.950365,80.149942,Chrompet,GST Road,Service Road,2,7.4,20,Sunny,35.0,47.4,3094,17.5,UnderConstruction,Dawn,High,19.6,9.2,65.0,No,Yes,Yes,No,No,2025,10,Friday,No,No,Early Morning,4,No,No,Yes,2,Yes,No,Medium,Minor,No
CHN202500015,12.936236,80.233206,Thoraipakkam,OMR,Highway,4,16.9,80,Cloudy,30.5,56.7,2109,18.1,Dry,Daylight,High,21.9,14.7,44.0,No,No,No,No,No,2025,10,Friday,No,Yes,Evening,17,No,Yes,No,5,Yes,Yes,Medium,Major,Yes
CHN202200016,13.044207,80.099728,Poonamallee,Poonamallee High Road,Arterial,4,15.1,60,Cloudy,30.3,70.2,3758,16.6,UnderConstruction,Daylight,High,14.1,7.5,38.0,No,No,No,Yes,No,2025,6,Sunday,Yes,No,Morning,9,Yes,No,Yes,10,Yes,Yes,High,Minor,Yes
